DATE,GBP/USD,USD/EUR,EUR/GBP
12-Sep-16,1.3303,0.8916,0.8431
13-Sep-16,1.3181,0.8896,0.8528
14-Sep-16,1.3176,0.8895,0.8532
15-Sep-16,1.3192,0.8895,0.8522
16-Sep-16,1.3079,0.896,0.8534
19-Sep-16,1.3061,0.8943,0.8561
20-Sep-16,1.2949,0.8956,0.8623
21-Sep-16,1.2958,0.8977,0.8597
22-Sep-16,1.3094,0.8897,0.8584
23-Sep-16,1.296,0.8913,0.8657
26-Sep-16,1.2976,0.8874,0.8684
27-Sep-16,1.2987,0.893,0.8622
28-Sep-16,1.299,0.8935,0.8616
29-Sep-16,1.2982,0.8905,0.865
30-Sep-16,1.2991,0.8897,0.8652
03-Oct-16,1.2834,0.8915,0.874
04-Oct-16,1.2754,0.8961,0.8749
05-Oct-16,1.2742,0.8928,0.8791
06-Oct-16,1.2646,0.8953,0.8833
07-Oct-16,1.2465,0.8949,0.8965
10-Oct-16,1.2377,0.8963,0.9014
11-Oct-16,1.2227,0.9044,0.9043
12-Oct-16,1.2183,0.9082,0.9038
13-Oct-16,1.2193,0.9066,0.9046
14-Oct-16,1.2195,0.9088,0.9023
17-Oct-16,1.2155,0.9099,0.9042
18-Oct-16,1.2302,0.9114,0.8919
19-Oct-16,1.2288,0.9117,0.8926
20-Oct-16,1.2244,0.9152,0.8924
21-Oct-16,1.2195,0.9199,0.8914
24-Oct-16,1.2205,0.9189,0.8917
25-Oct-16,1.2133,0.9209,0.895
26-Oct-16,1.2239,0.9159,0.8921
27-Oct-16,1.2179,0.9159,0.8965
28-Oct-16,1.2145,0.9152,0.8997
31-Oct-16,1.2214,0.9122,0.8975
01-Nov-16,1.222,0.9056,0.9037
02-Nov-16,1.2315,0.8994,0.9029
03-Nov-16,1.2455,0.9012,0.8909
04-Nov-16,1.2545,0.8992,0.8865
07-Nov-16,1.2393,0.9063,0.8903
08-Nov-16,1.2407,0.9053,0.8903
09-Nov-16,1.2444,0.9134,0.8798
10-Nov-16,1.2486,0.9192,0.8713
11-Nov-16,1.2579,0.9216,0.8626
14-Nov-16,1.2453,0.9326,0.8611
15-Nov-16,1.2384,0.9321,0.8663
16-Nov-16,1.2423,0.937,0.8591
17-Nov-16,1.2437,0.9369,0.8582
18-Nov-16,1.2312,0.9457,0.8588
21-Nov-16,1.2474,0.9414,0.8515
22-Nov-16,1.2422,0.9447,0.8521
23-Nov-16,1.2399,0.9494,0.8495
24-Nov-16,1.2464,0.9468,0.8474
25-Nov-16,1.2453,0.943,0.8515
28-Nov-16,1.2412,0.9449,0.8526
29-Nov-16,1.2507,0.9418,0.849
30-Nov-16,1.2497,0.9426,0.8489
01-Dec-16,1.2622,0.9422,0.8408
02-Dec-16,1.2658,0.938,0.8422
05-Dec-16,1.2707,0.9324,0.844
06-Dec-16,1.2712,0.9318,0.8442
07-Dec-16,1.2609,0.9288,0.8539
